Product,Status,Type,Category,Is Service,Bundle,JT,eShop,driving range per hour of charge (KMs),x hours to charge from 20-80%,Product Warrenty (Years),Based On i.e. (Based on a typical EV (Tesla Model Y)),Tethered,Sale Price,revcharge Ecomm Live Link,Phases,Smart Solar,Vehicle to Grid/Home,Output,Tethered Cable,Screen,Wifi,Bluetooth,Internet,App,Smart Watch,Scheduled Charging,Power Sharing,OCPP compliant,Warranty,Height mm,Width mm,Depth mm,Weight,Outdoor,NOTES,COLOURS
Tesla Gen 3 Wall Connector 7.4kW-22kW (7.3m),Active,Physical,Core Charger,FALSE,FALSE,,,38-66km,4 to 7,4,Based on a typical EV (Tesla Model Y),,750,https://revcharge.com.au/product/tesla-gen-3-wall-connector,Single and 3 Phase,x,x,22kW,7.3m,Basic LED,Updates,n/a,x,YES,x,n/a,Yes,n/a,2 years,345,155,110,6.8 kg,IP55 (YES),,White
Star Charge Artemis 7kW Basic (5m),Active,Physical,Core Charger,FALSE,FALSE,,,38km,7,2,Based on a typical EV (Tesla Model Y),,720,n/a,n/a,n/a,n/a,7.4kW,5m,x,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Star Charge Artemis 22kW Basic (5m),Active,Physical,Charger,FALSE,FALSE,,,66km,4,2,Based on a typical EV (Tesla Model Y),,820,,,,,,,,,,,,,,,,,,,,,,,
Wallbox Pulsar Max 7.4kW (5m),Active,Physical,Core Charger,FALSE,FALSE,,,38km,7,5,Based on a typical EV (Tesla Model Y),TRUE,1299,www.revcharge.com.au/product/wallbox-pulsar-max-7-4kw,n/a,n/a,n/a,7.4kW,5m,x,Wifi,BT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wallbox Pulsar Max 7.4kW (7m),Active,Physical,Charger,FALSE,FALSE,,,38km,7,5,Based on a typical EV (Tesla Model Y),TRUE,1449,www.revcharge.com.au/product/wallbox-pulsar-max-7-4kw,n/a,n/a,n/a,7.4kW,7m,x,Wifi,BT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Black
Wallbox Pulsar Max 7.4kw with Solar (5m),Active,Physical,Charger,FALSE,TRUE,,,38km,7,5,Based on a typical EV (Tesla Model Y),TRUE,1449,www.revcharge.com.au/product/wallbox-pulsar-max-7-4kw,n/a,n/a,n/a,7.4kW,5m,x,Wifi,BT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wallbox Pulsar Max 7.4kW with Solar (7m),Active,Physical,Charger,FALSE,TRUE,,,38km,7,5,Based on a typical EV (Tesla Model Y),TRUE,1599,www.revcharge.com.au/product/wallbox-pulsar-max-7-4kw,n/a,n/a,n/a,7.4kW,7m,x,Wifi,BT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Black
Wallbox Pulsar Max 22kW (5m),Active,Physical,Charger,FALSE,FALSE,,,66km,4,5,Based on a typical EV (Tesla Model Y),TRUE,1399,www.revcharge.com.au/product/wallbox-pulsar-max-22kw,n/a,n/a,n/a,22kW,5m,x,Wifi,BT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wallbox Pulsar Max 22kW (7m),Active,Physical,Charger,FALSE,FALSE,,,66km,4,5,Based on a typical EV (Tesla Model Y),TRUE,1549,www.revcharge.com.au/product/wallbox-pulsar-max-22kw,n/a,n/a,n/a,22kW,7m,x,Wifi,BT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Black
Wallbox Pulsar Max 22kW with Solar (5m),Active,Physical,Charger,FALSE,TRUE,,,66km,4,5,Based on a typical EV (Tesla Model Y),TRUE,1699,www.revcharge.com.au/product/wallbox-pulsar-max-22kw,n/a,n/a,n/a,22kW,5m,x,Wifi,BT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Black
